dataset,decision,holdout_effect,hypothesis,model,provider,q_value,query,reason,validation_effect
SyntheticSeed0,accepted,0.40571784269263267,IF x0 = 1 THEN y = 1 increases,qwen2.5:0.5b,ollama,0.01652892561983471,x0 = 1 -> P(y=1) increases,passes all verification gates,0.3890445066915655
SyntheticSeed0,rejected,-0.3742913708247529,IF x1 = 1 AND x2 = 1 THEN y = 1 decreases,qwen2.5:0.5b,ollama,1.0,x1 = 1 AND x2 = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,0.6336742970439799
SyntheticSeed1,accepted,0.3313907756543764,IF x0 = 1 THEN y = 1 increases,qwen2.5:0.5b,ollama,0.01652892561983471,x0 = 1 -> P(y=1) increases,passes all verification gates,0.3321473047500445
SyntheticSeed1,rejected,-0.3782545956459,IF x1 = 1 AND x2 = 1 THEN y = 1 decreases,qwen2.5:0.5b,ollama,1.0,x1 = 1 AND x2 = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,0.5840348872460996
AdultIncome,rejected,0.0,IF adult_age_ge_40 = 1 THEN y = 1 increases,qwen2.5:0.5b,ollama,1.0,uncompiled,could not compile predicate: 'adult_age_ge_40 = 1',0.0
AdultIncome,rejected,0.0,IF adult_age_ge_55 = 1 AND adult_age_ge_40 = 1 THEN y = 1 decreases,qwen2.5:0.5b,ollama,1.0,uncompiled,could not compile predicate: 'adult_age_ge_55 = 1',0.0
GermanCredit,rejected,-0.3356898786379168,IF x0 = 1 THEN y = 1 increases,qwen2.5:0.5b,ollama,1.0,german_checking_none = 1 -> P(y=1) increases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,-0.3267814205564673
GermanCredit,rejected,0.3135,IF x1 = 1 AND x4 = 1 THEN y = 1 decreases,qwen2.5:0.5b,ollama,1.0,german_checking_bad = 1 AND german_savings_low = 1 -> P(y=1) decreases,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.32307692307692304
SyntheticSeed0,accepted,0.40571784269263267,IF x0 = 1 THEN y = 1 increases,llama3.2:1b,ollama,0.03305785123966942,x0 = 1 -> P(y=1) increases,passes all verification gates,0.3890445066915655
SyntheticSeed0,rejected,0.0251851851851852,IF x4 = 1 AND x3 = 1 THEN y = 1 decreases,llama3.2:1b,ollama,0.1652892561983471,x4 = 1 AND x3 = 1 -> P(y=1) decreases,not significant after FDR correction; held-out effect does not replicate,-0.06338742393509128
SyntheticSeed0,rejected,0.0,IF x5 > 1 THEN y = 1 increases,llama3.2:1b,ollama,1.0,x5 > 1 -> P(y=1) increases,insufficient support; weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.0
SyntheticSeed0,rejected,0.0,IF x6 >= 2 THEN y = 1 decreases,llama3.2:1b,ollama,1.0,x6 >= 2 -> P(y=1) decreases,insufficient support; weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0.0
SyntheticSeed0,accepted,0.40571784269263267,IF x0 = 1 THEN y = 1 increases,llama3.2:1b,ollama,0.01652892561983471,x0 = 1 -> P(y=1) increases,passes all verification gates,0.3890445066915655
SyntheticSeed0,rejected,0.0251851851851852,IF x4 = 1 AND x3 = 1 THEN y = 1 decreases,llama3.2:1b,ollama,0.08264462809917356,x4 = 1 AND x3 = 1 -> P(y=1) decreases,not significant after FDR correction; held-out effect does not replicate,-0.06338742393509128
SyntheticSeed1,rejected,0.0,IF x<id> = 1 THEN y = 1 increases,llama3.2:1b,ollama,1.0,uncompiled,could not compile predicate: 'x<id> = 1',0.0
SyntheticSeed1,rejected,0.0,IF x<id> = 1 AND x<id> = 1 THEN y = 1 increases,llama3.2:1b,ollama,1.0,uncompiled,could not compile predicate: 'x<id> = 1',0.0
SyntheticSeed1,rejected,0.0,IF x<id> > <number> THEN y = 1 increases,llama3.2:1b,ollama,1.0,uncompiled,could not compile predicate: 'x<id> > <number>',0.0
SyntheticSeed1,rejected,0.0,IF x<id> > <number> AND x<id> <= <number> THEN y = 1 decreases,llama3.2:1b,ollama,1.0,uncompiled,could not compile predicate: 'x<id> > <number>',0.0
