file,has_schema,has_discovery_summary,has_validation_or_holdout,forbidden_hits,bytes
AdultIncome_ollama_llama3.prompt.txt,1,1,0,,2018
AdultIncome_ollama_llama3_2_1b_20260518-023209.prompt.txt,1,1,0,,2018
AdultIncome_ollama_llama3_2_1b_20260518-024234.prompt.txt,1,1,0,,2018
AdultIncome_ollama_llama3_2_3b_20260518-023455.prompt.txt,1,1,0,,2018
AdultIncome_ollama_llama3_2_3b_20260518-024354.prompt.txt,1,1,0,,2017
AdultIncome_ollama_qwen2.5:0.prompt.txt,1,1,0,,2018
AdultIncome_ollama_qwen2_5_0_5b_20260518-023107.prompt.txt,1,1,0,,2018
AdultIncome_ollama_qwen2_5_0_5b_20260518-023936.prompt.txt,1,1,0,,2018
AdultIncome_ollama_smollm2:135m_20260518-022711.prompt.txt,1,1,0,,2018
AdultIncome_ollama_smollm2_135m_20260518-023039.prompt.txt,1,1,0,,2018
AdultIncome_ollama_smollm2_135m_20260518-023848.prompt.txt,1,1,0,,2018
AdultIncome_openai_gpt-4o-mini_20260518-005947.prompt.txt,1,1,0,,1838
AdultIncome_openai_gpt-4o_20260524-235335.prompt.txt,1,1,0,,1435
GermanCredit_ollama_llama3.prompt.txt,1,1,0,,2034
GermanCredit_ollama_llama3_2_1b_20260518-023229.prompt.txt,1,1,0,,2034
GermanCredit_ollama_llama3_2_1b_20260518-024247.prompt.txt,1,1,0,,2034
GermanCredit_ollama_llama3_2_3b_20260518-023624.prompt.txt,1,1,0,,2034
GermanCredit_ollama_llama3_2_3b_20260518-024420.prompt.txt,1,1,0,,2033
GermanCredit_ollama_qwen2.5:0.prompt.txt,1,1,0,,2034
GermanCredit_ollama_qwen2_5_0_5b_20260518-023108.prompt.txt,1,1,0,,2034
GermanCredit_ollama_qwen2_5_0_5b_20260518-023939.prompt.txt,1,1,0,,2034
GermanCredit_ollama_smollm2:135m_20260518-022714.prompt.txt,1,1,0,,2034
GermanCredit_ollama_smollm2_135m_20260518-023045.prompt.txt,1,1,0,,2034
GermanCredit_ollama_smollm2_135m_20260518-023906.prompt.txt,1,1,0,,2034
GermanCredit_openai_gpt-4o-mini_20260518-010003.prompt.txt,1,1,0,,1854
GermanCredit_openai_gpt-4o_20260524-235342.prompt.txt,1,1,0,,1451
SyntheticSeed0_ollama_llama3.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_llama3_2_1b_20260518-023138.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_llama3_2_1b_20260518-024012.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_llama3_2_1b_20260518-024156.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_llama3_2_3b_20260518-023328.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_llama3_2_3b_20260518-024331.prompt.txt,1,1,0,,1575
SyntheticSeed0_ollama_qwen2.5:0.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_qwen2_5_0_5b_20260518-023104.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_qwen2_5_0_5b_20260518-023927.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_smollm2:135m_20260518-022703.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_smollm2_135m_20260518-023028.prompt.txt,1,1,0,,1576
SyntheticSeed0_ollama_smollm2_135m_20260518-023823.prompt.txt,1,1,0,,1576
SyntheticSeed0_openai_gpt-4o-mini_20260518-004641.prompt.txt,1,1,0,,1396
SyntheticSeed0_openai_gpt-4o-mini_20260518-005233.prompt.txt,1,1,0,,1396
