item_id,dataset,query,family,verifier_decision,correct_action,prose_only_prompt,evidence_card_prompt,validation_effect,holdout_effect,q_value,reason
bank_01,Bank,bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases,interaction+macro,accepted,act,"In the Bank data, the rule 'bank_duration_ge_300 AND bank_euribor_low -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?","Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",0.588061,0.577874,0.002511,passes all verification gates
bank_02,Bank,bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases,campaign+occupation,accepted,act,"In the Bank data, the rule 'bank_job_blue_collar AND bank_campaign_gt_2 -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?","Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",-0.042233,-0.052543,0.002511,passes all verification gates
bank_03,Bank,bank_poutcome_success = 1 -> P(y=1) increases,history,rejected,do_not_act,"In the Bank data, the rule 'bank_poutcome_success -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?","Claim: IF x18 = 1 THEN y = 1 increases | Query: bank_poutcome_success = 1 -> P(y=1) increases | Validation support/effect: 0.023/0.610 | q: 0.003 | Matched contrast: 0.592 | Held-out support/effect/CI: 0.040/0.494/[0.417,0.571] | Verifier decision: rejected | Reason: insufficient support",0.609925,0.494203,0.002511,insufficient support
bank_04,Bank,bank_contact_cellular = 1 -> P(y=1) increases,channel,rejected,do_not_act,"In the Bank data, the rule 'bank_contact_cellular -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?","Claim: IF x10 = 1 THEN y = 1 increases | Query: bank_contact_cellular = 1 -> P(y=1) increases | Validation support/effect: 0.899/0.031 | q: 0.003 | Matched contrast: 0.029 | Held-out support/effect/CI: 0.896/-0.018/[-0.051,0.018] | Verifier decision: rejected | Reason: weak validation effect; matched counterfactual contrast is weak; held-out effect does not replicate",0.031007,-0.018082,0.002511,weak validation effect; matched counterfactual contrast is weak; held-out effect does not replicate
bike_05,Bike,bike_workingday = 1 AND bike_evening_peak = 1 -> P(y=1) increases,calendar+hour,accepted,act,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?","Claim: IF x1 = 1 AND x4 = 1 THEN y = 1 increases | Query: bike_workingday = 1 AND bike_evening_peak = 1 -> P(y=1) increases | Validation support/effect: 0.114/0.592 | q: 0.003 | Matched contrast: 0.591 | Held-out support/effect/CI: 0.114/0.512/[0.494,0.531] | Verifier decision: accepted | Reason: passes all verification gates",0.591964,0.512388,0.002911,passes all verification gates
bike_06,Bike,bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases,weather,accepted,act,"In the Bike data, the rule 'bike_bad_weather AND bike_humidity_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?","Claim: IF x9 = 1 AND x12 = 1 THEN y = 1 decreases | Query: bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases | Validation support/effect: 0.079/-0.251 | q: 0.003 | Matched contrast: -0.248 | Held-out support/effect/CI: 0.056/-0.331/[-0.363,-0.294] | Verifier decision: accepted | Reason: passes all verification gates",-0.251103,-0.330897,0.002911,passes all verification gates
bike_07,Bike,bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases,hour+season,rejected,do_not_act,"In the Bike data, the rule 'bike_winter AND bike_night -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?","Claim: IF x15 = 1 AND x6 = 1 THEN y = 1 decreases | Query: bike_winter = 1 AND bike_night = 1 -> P(y=1) decreases | Validation support/effect: 0.014/-0.340 | q: 0.003 | Matched contrast: -0.292 | Held-out support/effect/CI: 0.061/-0.518/[-0.527,-0.506] | Verifier decision: rejected | Reason: insufficient support",-0.340259,-0.517565,0.002911,insufficient support
bike_08,Bike,bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases,weather,rejected,do_not_act,"In the Bike data, the rule 'bike_wind_high AND bike_temp_high -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?","Claim: IF x13 = 1 AND x10 = 1 THEN y = 1 decreases | Query: bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases | Validation support/effect: 0.037/0.187 | q: 1.000 | Matched contrast: 0.338 | Held-out support/effect/CI: 0.038/0.374/[0.335,0.415] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate",0.186888,0.373774,1.000000,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate
healthcare_09,Healthcare,diab_inpatient_prior = 1 -> P(y=1) increases,history,accepted,act,"In the Healthcare data, the rule 'diab_inpatient_prior -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?","Claim: IF x7 = 1 THEN y = 1 increases | Query: diab_inpatient_prior = 1 -> P(y=1) increases | Validation support/effect: 0.333/0.079 | q: 0.003 | Matched contrast: 0.078 | Held-out support/effect/CI: 0.354/0.078/[0.070,0.085] | Verifier decision: accepted | Reason: passes all verification gates",0.078537,0.077957,0.003298,passes all verification gates
healthcare_10,Healthcare,diab_no_prior_utilization = 1 -> P(y=1) decreases,history,accepted,act,"In the Healthcare data, the rule 'diab_no_prior_utilization -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?","Claim: IF x19 = 1 THEN y = 1 decreases | Query: diab_no_prior_utilization = 1 -> P(y=1) decreases | Validation support/effect: 0.532/-0.063 | q: 0.003 | Matched contrast: -0.062 | Held-out support/effect/CI: 0.495/-0.061/[-0.067,-0.054] | Verifier decision: accepted | Reason: passes all verification gates",-0.062974,-0.060675,0.003298,passes all verification gates
healthcare_11,Healthcare,diab_admission_emergency = 1 -> P(y=1) increases,admission,rejected,do_not_act,"In the Healthcare data, the rule 'diab_admission_emergency -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?","Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",0.006060,0.018787,0.104618,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak
