category,method,reason,seed,suite
uncompiled,LLMOnly,unknown feature x999,0,LLMStress
uncompiled,LLMOnly,hypothesis must contain an IF ... THEN ... structure,0,LLMStress
shifted,StatisticalFilter,not significant after FDR correction,0,LLMStress
shifted,StatisticalFilter,not significant after FDR correction,0,LLMStress
rare,StatisticalFilter,insufficient support; not significant after FDR correction,0,LLMStress
true,StatisticalFilter,not significant after FDR correction,0,LLMStress
redundant,StatisticalFilter,not significant after FDR correction,0,LLMStress
true,StatisticalFilter,not significant after FDR correction,0,LLMStress
redundant,StatisticalFilter,not significant after FDR correction,0,LLMStress
true,StatisticalFilter,not significant after FDR correction,0,LLMStress
redundant,StatisticalFilter,not significant after FDR correction,0,LLMStress
confounded,StatisticalFilter,not significant after FDR correction,0,LLMStress
null,StatisticalFilter,not significant after FDR correction,0,LLMStress
null,StatisticalFilter,not significant after FDR correction,0,LLMStress
null,StatisticalFilter,not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
confounded,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
null,StatisticalFilter,weak validation effect; not significant after FDR correction,0,LLMStress
