compile_errors,compile_success_rate,compiled,dataset,duplicates,file,model,proposed,provider,unique
0,0.0,0,AdultIncome,0,AdultIncome_ollama_llama3.json,llama3.2:3b,0,ollama,0
0,1.0,2,AdultIncome,0,AdultIncome_ollama_llama3_2_1b_20260518-023209.json,llama3.2:1b,2,ollama,2
0,1.0,12,AdultIncome,0,AdultIncome_ollama_llama3_2_1b_20260518-024234.json,llama3.2:1b,12,ollama,12
2,0.0,0,AdultIncome,0,AdultIncome_ollama_llama3_2_3b_20260518-023455.json,llama3.2:3b,2,ollama,2
0,1.0,3,AdultIncome,0,AdultIncome_ollama_llama3_2_3b_20260518-024354.json,llama3.2:3b,3,ollama,3
2,0.0,0,AdultIncome,0,AdultIncome_ollama_qwen2.5:0.json,qwen2.5:0.5b,2,ollama,2
2,0.0,0,AdultIncome,0,AdultIncome_ollama_qwen2_5_0_5b_20260518-023107.json,qwen2.5:0.5b,2,ollama,2
2,0.0,0,AdultIncome,0,AdultIncome_ollama_qwen2_5_0_5b_20260518-023936.json,qwen2.5:0.5b,2,ollama,2
0,0.0,0,AdultIncome,0,AdultIncome_ollama_smollm2:135m_20260518-022711.json,smollm2:135m,0,ollama,0
0,1.0,5,AdultIncome,0,AdultIncome_ollama_smollm2_135m_20260518-023039.json,smollm2:135m,5,ollama,5
0,0.0,0,AdultIncome,0,AdultIncome_ollama_smollm2_135m_20260518-023848.json,smollm2:135m,0,ollama,0
0,1.0,24,AdultIncome,0,AdultIncome_openai_gpt-4o-mini_20260518-005947.json,gpt-4o-mini,24,openai,24
0,1.0,24,AdultIncome,0,AdultIncome_openai_gpt-4o_20260524-235335.json,gpt-4o,24,openai,24
0,0.0,0,GermanCredit,0,GermanCredit_ollama_llama3.json,llama3.2:3b,0,ollama,0
0,1.0,5,GermanCredit,0,GermanCredit_ollama_llama3_2_1b_20260518-023229.json,llama3.2:1b,5,ollama,5
0,1.0,2,GermanCredit,0,GermanCredit_ollama_llama3_2_1b_20260518-024247.json,llama3.2:1b,2,ollama,2
0,0.0,0,GermanCredit,0,GermanCredit_ollama_llama3_2_3b_20260518-023624.json,llama3.2:3b,0,ollama,0
0,0.0,0,GermanCredit,0,GermanCredit_ollama_llama3_2_3b_20260518-024420.json,llama3.2:3b,0,ollama,0
0,1.0,2,GermanCredit,0,GermanCredit_ollama_qwen2.5:0.json,qwen2.5:0.5b,2,ollama,2
0,1.0,2,GermanCredit,0,GermanCredit_ollama_qwen2_5_0_5b_20260518-023108.json,qwen2.5:0.5b,2,ollama,2
0,1.0,2,GermanCredit,0,GermanCredit_ollama_qwen2_5_0_5b_20260518-023939.json,qwen2.5:0.5b,2,ollama,2
0,0.0,0,GermanCredit,0,GermanCredit_ollama_smollm2:135m_20260518-022714.json,smollm2:135m,0,ollama,0
0,0.0,0,GermanCredit,0,GermanCredit_ollama_smollm2_135m_20260518-023045.json,smollm2:135m,0,ollama,0
0,0.0,0,GermanCredit,0,GermanCredit_ollama_smollm2_135m_20260518-023906.json,smollm2:135m,0,ollama,0
0,1.0,25,GermanCredit,0,GermanCredit_openai_gpt-4o-mini_20260518-010003.json,gpt-4o-mini,25,openai,25
0,1.0,24,GermanCredit,0,GermanCredit_openai_gpt-4o_20260524-235342.json,gpt-4o,24,openai,24
0,0.0,0,SyntheticSeed0,0,SyntheticSeed0_ollama_llama3.json,llama3.2:3b,0,ollama,0
0,1.0,5,SyntheticSeed0,0,SyntheticSeed0_ollama_llama3_2_1b_20260518-023138.json,llama3.2:1b,5,ollama,5
0,1.0,4,SyntheticSeed0,0,SyntheticSeed0_ollama_llama3_2_1b_20260518-024012.json,llama3.2:1b,4,ollama,4
0,1.0,2,SyntheticSeed0,0,SyntheticSeed0_ollama_llama3_2_1b_20260518-024156.json,llama3.2:1b,2,ollama,2
