seed,regime,description,method,accepted,false_accept,true_accept,validation_effect,heldout_effect,matched_effect,decisive_gate
0,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1658408478076248,0.18269219139199147,0.0019473723164605149,counterfactual
0,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.16254534973712875,0.17002451419297163,-0.004457791154389136,counterfactual
0,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21310192094797106,0.012380204596113751,0.01931184435814324,heldout
0,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20822539981247437,0.02611229649064458,0.015054160978369039,heldout
0,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16285041858431779,0.16326182818419976,0.12553233785811052,none
0,true_stable,stable after matching,VeraDM,1,0,1,0.15641262650245352,0.17523807294592728,0.13103963229282192,none
1,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1782122926163639,0.18025871365112986,0.005069806922151759,counterfactual
1,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.1934933274781545,0.14574152739613305,-0.0023676265710289206,counterfactual
1,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.20651025456205233,-0.004359249289436467,0.009342949855661382,heldout
1,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.22105135825273736,0.007362756148220291,0.02347779844283182,heldout
1,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15510005964011023,0.14893345776089642,0.13334331216071052,none
1,true_stable,stable after matching,VeraDM,1,0,1,0.15465553195607787,0.14373858775792306,0.1350703777732241,none
2,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18173991350767038,0.15670650762768773,0.011516207748769004,counterfactual
2,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.19279908053238776,0.17404297574852806,0.012780313186870684,counterfactual
2,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.20205761814213402,0.0017183468772989357,0.026423034914144404,heldout
2,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20888590356751918,0.008234981229454534,0.016328504228628964,heldout
2,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15618797559077227,0.15415140183817624,0.1438652211878783,none
2,true_stable,stable after matching,VeraDM,1,0,1,0.1520281560888188,0.1695146693341894,0.12181057115337707,none
3,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.17040421862566002,0.1728210301952806,0.0006092903887528827,counterfactual
3,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.19437264900447843,0.16159003677273642,0.006150767640354852,counterfactual
3,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.18749045723257846,0.014411066271854915,0.018706200726308412,heldout
3,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21542812060410296,0.00733169079251148,0.02427169653465247,heldout
3,true_stable,stable after matching,StableEnv-BH,1,0,1,0.17995072974519438,0.14869722045266504,0.12697209183936536,none
3,true_stable,stable after matching,VeraDM,1,0,1,0.15725765968361208,0.12572608997577633,0.1264105549710823,none
4,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1721510120583355,0.1733874359502404,-0.011781904139669126,counterfactual
4,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17155294605615498,0.18519215280606743,0.0017797742654645221,counterfactual
4,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2079945915814059,0.005222430463613983,0.01594087893643193,heldout
4,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.2070348532992805,0.0074676156675385266,0.031061878037237867,heldout
4,true_stable,stable after matching,StableEnv-BH,1,0,1,0.17709559777744263,0.14994438494785614,0.14624845512677845,none
4,true_stable,stable after matching,VeraDM,1,0,1,0.1607206121834276,0.15722991582479037,0.13434426322802365,none
5,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18242869949499108,0.16797209742347752,0.0031446940628464225,counterfactual
5,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.18348310739859883,0.162509024878592,0.007907103940059806,counterfactual
5,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21888774942294478,0.010274130585032563,0.03434611993335942,heldout
5,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.20994121988299122,0.02061609477879883,0.022874601578004795,heldout
5,true_stable,stable after matching,StableEnv-BH,1,0,1,0.15080817633742422,0.14371298029540275,0.12341123145986602,none
5,true_stable,stable after matching,VeraDM,1,0,1,0.15832294110977918,0.1502695932477584,0.1318724743209632,none
6,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1802426811721164,0.15808850726240634,-0.00042451310641362813,counterfactual
6,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17681726771484357,0.16835999602479393,-0.010327806116562966,counterfactual
6,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21320061529020115,0.009235138037099013,0.017162358884906408,heldout
6,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.19921835591624276,0.005686755540668971,0.019620630050443445,heldout
6,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1616591304639952,0.13981501299669885,0.14321631694815737,none
6,true_stable,stable after matching,VeraDM,1,0,1,0.15314664434654227,0.13478149966633532,0.13864342791018883,none
7,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.15642576832988234,0.1534540731931987,-0.004858207089300706,counterfactual
7,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.18727587398674303,0.17434116576359662,-0.0041585292286944,counterfactual
7,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21029381785567935,0.01342151589815993,0.027052707476193386,heldout
7,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.21314343421325227,-0.006278756831667712,0.018399889444225544,heldout
7,true_stable,stable after matching,StableEnv-BH,1,0,1,0.17208485477482435,0.14536740070960885,0.1343740024476362,none
7,true_stable,stable after matching,VeraDM,1,0,1,0.1564372002070021,0.15997600590547348,0.12837421323966192,none
8,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.17795507603944102,0.1698671361153569,-0.009147265857333867,counterfactual
8,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.16597059547307516,0.17291955772092138,-0.011143434837650687,counterfactual
8,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.22094009726522323,0.005678077110035804,0.01995201979159639,heldout
8,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.22366342443430481,0.0018769606727542035,0.014605696699130253,heldout
8,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16898771207462168,0.143982607207047,0.11986593446285748,none
8,true_stable,stable after matching,VeraDM,1,0,1,0.15674254145041555,0.16053592833224745,0.14061013257051294,none
9,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.16714828354088193,0.1582403924059363,0.002955737565553719,counterfactual
9,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.17492725117353478,0.16124258526151355,-0.011245069372921043,counterfactual
9,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.21034302710338454,0.02161156886157588,0.016439727138984422,heldout
9,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.2082175060049893,0.019416617341154796,0.016119785818103187,heldout
9,true_stable,stable after matching,StableEnv-BH,1,0,1,0.1737289456413918,0.14762902503335767,0.1271633163354448,none
9,true_stable,stable after matching,VeraDM,1,0,1,0.1561056361470129,0.14895979339431914,0.13989684555533363,none
10,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.18517603204423988,0.16459646873464365,0.0107264126592717,counterfactual
10,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.19130605311824772,0.16746591951622516,0.002216825337770577,counterfactual
10,shifted_shortcut,"validation positive, held-out null",StableEnv-BH,0,0,0,0.2026922974836771,0.007698148010419126,0.024723246000857825,heldout
10,shifted_shortcut,"validation positive, held-out null",VeraDM,0,0,0,0.19275130141798924,0.01018868929766431,0.032346008262802275,heldout
10,true_stable,stable after matching,StableEnv-BH,1,0,1,0.16360023013915395,0.1495437600428908,0.13741135597974388,none
10,true_stable,stable after matching,VeraDM,1,0,1,0.18171235154690127,0.13887680490704554,0.1363655121946358,none
11,stable_confounder,"marginal stable, matched null",StableEnv-BH,1,1,0,0.1789142319062058,0.17097789145465656,-0.006135113941743896,counterfactual
11,stable_confounder,"marginal stable, matched null",VeraDM,0,0,0,0.16063249166109847,0.16934064924821002,-0.002748265647536002,counterfactual
