counterfactual_effect,dataset,decision,family,holdout_ci_high,holdout_ci_low,holdout_effect,hypothesis,p_value,q_value,query,reason,split,support_holdout,support_validation,validation_effect
0.5800693072689509,BankMarketingMonth,accepted,interaction+macro,0.6537716397982163,0.5039581385759208,0.5778744785488665,IF x13 = 1 AND x21 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.03706413069982931,0.035949670461354104,0.5880606484358815
0.5897511741836571,BankMarketingMonth,accepted,history,0.5635458579785454,0.42584306156156443,0.4951876623289238,IF x20 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_pdays_recent = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.04633016337478664,0.02651288196524865,0.6019109415355514
0.4185667593595871,BankMarketingMonth,accepted,history+macro,0.5040509443215917,0.3869855090564589,0.4446444360237464,IF x17 = 1 AND x21 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_previous_contact = 1 AND bank_euribor_low = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.06656912948061448,0.05145296584781306,0.42646291657543994
0.35592318785660493,BankMarketingMonth,accepted,macro,0.4597506721560793,0.36922225867528813,0.41343513365568835,IF x21 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_euribor_low = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.11826383808827115,0.11174355901737568,0.36240409785296734
0.35592318785660493,BankMarketingMonth,accepted,macro,0.4597506721560793,0.36922225867528813,0.41343513365568835,IF x24 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_nr_employed_low = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.11826383808827115,0.11174355901737568,0.36240409785296734
0.4550282329455318,BankMarketingMonth,accepted,interaction,0.4113369700907178,0.30426941751332476,0.35241277466304455,IF x14 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_duration_ge_600 = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.0814435503535723,0.08792690233672858,0.455131897859211
0.12253090590343664,BankMarketingMonth,accepted,demographic+occupation,0.3656683745056641,0.19564230532695276,0.2772251920950747,IF x0 = 1 AND x4 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_age_ge_50 = 1 AND bank_job_retired = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.030968056571567912,0.04321449970041941,0.12797091372813696
0.042571790097176314,BankMarketingMonth,accepted,occupation,0.33598051055395534,0.17708575462126952,0.25252392255767375,IF x4 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_job_retired = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.033162643257742014,0.04591072498502097,0.12162365842417609
0.2525216509225556,BankMarketingMonth,accepted,interaction,0.24761346155490546,0.1910340637892338,0.21794425064830775,IF x13 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_duration_ge_300 = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.2470129236771519,0.26003594967046134,0.25296763932162913
0.25152499757640673,BankMarketingMonth,accepted,channel+interaction,0.2394422155527184,0.18227418080339083,0.21008825255109756,IF x10 = 1 AND x13 = 1 THEN y = 1 increases,0.001996007984031936,0.0025111068186208225,bank_contact_cellular = 1 AND bank_duration_ge_300 = 1 -> P(y=1) increases,passes all verification gates,May-Jun/Jul-Aug/Nov,0.22970007315288954,0.237866986219293,0.2519366950240008
