participant_id,order,item_id,condition,prompt,response_action,confidence_1_to_5,time_seconds,notes
P01,1,healthcare_11,evidence_card,"Claim: IF x13 = 1 THEN y = 1 increases | Query: diab_admission_emergency = 1 -> P(y=1) increases | Validation support/effect: 0.712/0.006 | q: 0.105 | Matched contrast: 0.005 | Held-out support/effect/CI: 0.755/0.019/[0.012,0.026] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak",do_not_act,3,71,
P01,2,bank_04,prose_only,"In the Bank data, the rule 'bank_contact_cellular -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,4,20,
P01,3,bank_01,evidence_card,"Claim: IF x13 = 1 AND x21 = 1 THEN y = 1 increases | Query: bank_duration_ge_300 = 1 AND bank_euribor_low = 1 -> P(y=1) increases | Validation support/effect: 0.036/0.588 | q: 0.003 | Matched contrast: 0.580 | Held-out support/effect/CI: 0.037/0.578/[0.504,0.654] | Verifier decision: accepted | Reason: passes all verification gates",act,3,61,
P01,4,bank_03,prose_only,"In the Bank data, the rule 'bank_poutcome_success -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,17,
P01,5,bike_08,evidence_card,"Claim: IF x13 = 1 AND x10 = 1 THEN y = 1 decreases | Query: bike_wind_high = 1 AND bike_temp_high = 1 -> P(y=1) decreases | Validation support/effect: 0.037/0.187 | q: 1.000 | Matched contrast: 0.338 | Held-out support/effect/CI: 0.038/0.374/[0.335,0.415] | Verifier decision: rejected | Reason: weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate",do_not_act,3,59,
P01,6,healthcare_12,prose_only,"In the Healthcare data, the rule 'diab_num_lab_procedures_ge_60 -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,5,26,
P01,7,bank_02,evidence_card,"Claim: IF x3 = 1 AND x15 = 1 THEN y = 1 decreases | Query: bank_job_blue_collar = 1 AND bank_campaign_gt_2 = 1 -> P(y=1) decreases | Validation support/effect: 0.068/-0.042 | q: 0.003 | Matched contrast: -0.040 | Held-out support/effect/CI: 0.029/-0.053/[-0.088,-0.008] | Verifier decision: accepted | Reason: passes all verification gates",act,4,75,
P01,8,healthcare_10,prose_only,"In the Healthcare data, the rule 'diab_no_prior_utilization -> outcome decreases' appears to be associated with lower target probability in the validation data. Would you act on this rule?",do_not_act,2,39,
P01,9,bike_06,evidence_card,"Claim: IF x9 = 1 AND x12 = 1 THEN y = 1 decreases | Query: bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases | Validation support/effect: 0.079/-0.251 | q: 0.003 | Matched contrast: -0.248 | Held-out support/effect/CI: 0.056/-0.331/[-0.363,-0.294] | Verifier decision: accepted | Reason: passes all verification gates",act,4,37,
P01,10,bike_05,prose_only,"In the Bike data, the rule 'bike_workingday AND bike_evening_peak -> outcome increases' appears to be associated with higher target probability in the validation data. Would you act on this rule?",do_not_act,3,18,
