assumption,context_compile_success,context_variables,dataset,hypothesis,llm_confidence,predicate_families,query
"Within exact-match strata of bank_default_unknown, bank_contact_cellular, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_default_unknown;bank_contact_cellular;bank_campaign_gt_2,Bank,IF x0 = 1 THEN y = 1 increases,0.88,demographic,bank_age_ge_50 = 1 -> P(y=1) increases
"Within exact-match strata of bank_default_unknown, bank_contact_cellular, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_default_unknown;bank_contact_cellular;bank_campaign_gt_2,Bank,IF x1 = 1 THEN y = 1 decreases,0.88,demographic,bank_married = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x2 = 1 THEN y = 1 increases,0.88,occupation,bank_job_admin = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x3 = 1 THEN y = 1 decreases,0.88,occupation,bank_job_blue_collar = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x4 = 1 THEN y = 1 increases,0.88,occupation,bank_job_retired = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x5 = 1 THEN y = 1 increases,0.88,occupation,bank_job_student = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x6 = 1 THEN y = 1 increases,0.88,education,bank_university_degree = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_contact_cellular, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_contact_cellular;bank_campaign_gt_2,Bank,IF x7 = 1 THEN y = 1 decreases,0.88,credit,bank_default_unknown = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_contact_cellular, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_contact_cellular;bank_campaign_gt_2,Bank,IF x8 = 1 THEN y = 1 decreases,0.88,credit,bank_housing_yes = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_contact_cellular, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_contact_cellular;bank_campaign_gt_2,Bank,IF x9 = 1 THEN y = 1 decreases,0.88,credit,bank_loan_yes = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_campaign_gt_2,Bank,IF x10 = 1 THEN y = 1 increases,0.88,channel,bank_contact_cellular = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_campaign_gt_2, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_campaign_gt_2,Bank,IF x11 = 1 THEN y = 1 decreases,0.88,channel,bank_contact_telephone = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x12 = 1 THEN y = 1 increases,0.88,interaction,bank_duration_ge_180 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x13 = 1 THEN y = 1 increases,0.88,interaction,bank_duration_ge_300 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x14 = 1 THEN y = 1 increases,0.88,interaction,bank_duration_ge_600 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x15 = 1 THEN y = 1 decreases,0.88,campaign,bank_campaign_gt_2 = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x16 = 1 THEN y = 1 increases,0.88,campaign,bank_campaign_eq_1 = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x17 = 1 THEN y = 1 increases,0.88,history,bank_previous_contact = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x18 = 1 THEN y = 1 increases,0.88,history,bank_poutcome_success = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x19 = 1 THEN y = 1 increases,0.88,history,bank_poutcome_failure = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x20 = 1 THEN y = 1 increases,0.88,history,bank_pdays_recent = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x21 = 1 THEN y = 1 increases,0.88,macro,bank_euribor_low = 1 -> P(y=1) increases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x22 = 1 THEN y = 1 decreases,0.88,macro,bank_euribor_high = 1 -> P(y=1) decreases
"Within exact-match strata of bank_age_ge_50, bank_default_unknown, bank_contact_cellular, the antecedent is compared against locally similar records.",1,bank_age_ge_50;bank_default_unknown;bank_contact_cellular,Bank,IF x23 = 1 THEN y = 1 increases,0.88,macro,bank_emp_var_negative = 1 -> P(y=1) increases
